service_id,date,exception_type
UK023-4-0800122025-LVC#MHI,20251210,2
UK023-4-0800122025-LVC#MHI,20251216,2
UK023-4-0800122025-LVC#MHI,20251217,2
UK023-5-0700122025-MHI#LVC,20251202,2
UK023-5-0700122025-MHI#LVC,20251203,2
UK023-5-0700122025-MHI#LVC,20251209,2
UK023-5-0700122025-MHI#LVC,20251210,2
UK023-5-0700122025-MHI#LVC,20251216,2
UK023-5-0700122025-MHI#LVC,20251217,2
UK041-10-1400012026-LVC#BRSS,20260108,2
UK041-10-1400122025-LVC#BRSS,20251202,2
UK041-10-1400122025-LVC#BRSS,20251203,2
UK041-10-1400122025-LVC#BRSS,20251204,2
UK041-12-1700012026-LVC#BRSS,20260108,2
UK041-12-1700122025-LVC#BRSS,20251202,2
UK041-12-1700122025-LVC#BRSS,20251203,2
UK041-12-1700122025-LVC#BRSS,20251204,2
UK041-13-1835012026-BRSS#LVC,20260108,2
UK041-13-1835122025-BRSS#LVC,20251202,2
UK041-13-1835122025-BRSS#LVC,20251203,2
UK041-13-1835122025-BRSS#LVC,20251204,2
UK041-14-1830012026-LVC#BRSS,20260108,2
UK041-14-1830122025-LVC#BRSS,20251202,2
UK041-14-1830122025-LVC#BRSS,20251203,2
UK041-14-1830122025-LVC#BRSS,20251204,2
UK041-15-2120012026-BRSS#LVC,20260108,2
UK041-15-2120122025-BRSS#LVC,20251202,2
UK041-15-2120122025-BRSS#LVC,20251203,2
UK041-15-2120122025-BRSS#LVC,20251204,2
UK041-16-1930012026-LVC#BRSS,20260108,2
UK041-16-1930122025-LVC#BRSS,20251202,2
UK041-16-1930122025-LVC#BRSS,20251203,2
UK041-16-1930122025-LVC#BRSS,20251204,2
UK041-23-0830012026-BRSS#LVC,20260108,2
UK041-23-0830122025-BRSS#LVC,20251202,2
UK041-23-0830122025-BRSS#LVC,20251203,2
UK041-23-0830122025-BRSS#LVC,20251204,2
UK041-24-2230012026-LVC#BRSS,20260108,2
UK041-24-2230122025-LVC#BRSS,20251202,2
UK041-24-2230122025-LVC#BRSS,20251203,2
UK041-24-2230122025-LVC#BRSS,20251204,2
UK041-25-1740012026-BRSS#LVC,20260108,2
UK041-25-1740122025-BRSS#LVC,20251202,2
UK041-25-1740122025-BRSS#LVC,20251203,2
UK041-25-1740122025-BRSS#LVC,20251204,2
UK041-28-1300012026-LVC#BRSS,20260108,2
UK041-28-1300122025-LVC#BRSS,20251202,2
UK041-28-1300122025-LVC#BRSS,20251203,2
UK041-28-1300122025-LVC#BRSS,20251204,2
UK041-7-1400012026-BRSS#LVC,20260108,2
UK041-7-1400122025-BRSS#LVC,20251202,2
UK041-7-1400122025-BRSS#LVC,20251203,2
UK041-7-1400122025-BRSS#LVC,20251204,2
UK041-9-1500012026-BRSS#LVC,20260108,2
UK041-9-1500122025-BRSS#LVC,20251202,2
UK041-9-1500122025-BRSS#LVC,20251203,2
UK041-9-1500122025-BRSS#LVC,20251204,2
UK045-10-1855012026-PLY#BRSS,20260108,2
UK045-10-1855122025-PLY#BRSS,20251202,2
UK045-10-1855122025-PLY#BRSS,20251203,2
UK045-10-1855122025-PLY#BRSS,20251209,2
UK045-10-1855122025-PLY#BRSS,20251210,2
UK045-5-1130012026-LVC#PLY,20260108,2
UK045-5-1130122025-LVC#PLY,20251202,2
UK045-5-1130122025-LVC#PLY,20251203,2
UK045-5-1130122025-LVC#PLY,20251209,2
UK045-5-1130122025-LVC#PLY,20251210,2
UK045-6-1115012026-PLY#LVC,20260108,2
UK045-6-1115122025-PLY#LVC,20251202,2
UK045-6-1115122025-PLY#LVC,20251203,2
UK045-6-1115122025-PLY#LVC,20251209,2
UK045-6-1115122025-PLY#LVC,20251210,2
UK045-7-0655012026-BRSS#PLY,20260108,2
UK045-7-0655122025-BRSS#PLY,20251202,2
UK045-7-0655122025-BRSS#PLY,20251203,2
UK045-7-0655122025-BRSS#PLY,20251209,2
UK045-7-0655122025-BRSS#PLY,20251210,2
UK045-8-0700012026-BRSS#LVC,20260108,2
UK045-8-0700122025-BRSS#LVC,20251202,2
UK045-8-0700122025-BRSS#LVC,20251203,2
UK045-8-0700122025-BRSS#LVC,20251209,2
UK045-8-0700122025-BRSS#LVC,20251210,2
UK045-9-1900012026-LVC#BRSS,20260108,2
UK045-9-1900122025-LVC#BRSS,20251202,2
UK045-9-1900122025-LVC#BRSS,20251203,2
UK045-9-1900122025-LVC#BRSS,20251209,2
